State,Zip_Code,Count_of_NPI
AK,33669,1
AK,36303,1
AK,55995,1
AK,72104,1
AK,72116,1
AK,72370,1
AK,77777,1
AK,95503,1
AK,97508,2
AK,97762,1
AK,98505,1
AK,98762,1
AK,98801,1
AK,98862,1
AK,99071,1
AK,99088,1
AK,99501,711
AK,99502,224
AK,99503,1569
AK,99504,616
AK,99505,61
AK,99506,427
AK,99507,868
AK,99508,4245
AK,99513,1
AK,99514,1
AK,99515,503
AK,99516,126
AK,99517,130
AK,99518,457
AK,99519,3
AK,99524,1
AK,99540,1
AK,99545,4
AK,99546,3
AK,99547,1
AK,99548,4
AK,99549,1
AK,99550,1
AK,99551,4
AK,99552,5
AK,99553,2
AK,99554,5
AK,99555,3
AK,99556,13
AK,99557,20
AK,99558,2
AK,99559,1236
AK,99561,6
AK,99563,10
AK,99564,4
AK,99565,4
AK,99566,2
AK,99567,73
AK,99568,2
AK,99569,2
AK,99571,9
AK,99572,1
AK,99573,20
AK,99574,48
AK,99576,223
AK,99577,590
AK,99578,6
AK,99579,1
AK,99580,2
AK,99581,6
AK,99583,4
AK,99585,4
AK,99586,13
AK,99587,9
AK,99588,47
AK,99589,4
AK,99590,1
AK,99591,4
AK,99603,309
AK,99604,14
AK,99605,1
AK,99606,13
AK,99607,2
AK,99609,10
AK,99610,5
AK,99611,283
AK,99612,22
AK,99613,5
AK,99614,7
AK,99615,324
AK,99619,59
AK,99620,3
AK,99621,10
AK,99623,69
AK,99624,2
AK,99625,2
AK,99626,3
AK,99627,15
AK,99628,2
AK,99629,1
AK,99630,2
AK,99632,9
AK,99633,10
AK,99634,2
AK,99635,14
AK,99636,4
AK,99637,11
AK,99638,4
AK,99639,16
AK,99640,3
AK,99641,6
AK,99643,1
AK,99644,1
AK,99645,526
AK,99647,3
AK,99648,3
AK,99649,1
AK,99650,5
AK,99651,2
AK,99652,9
AK,99653,3
AK,99654,1431
AK,99655,6
AK,99657,3
AK,99658,17
AK,99659,15
AK,99660,18
AK,99661,15
AK,99662,5
AK,99663,7
AK,99664,149
AK,99665,1
AK,99666,2
AK,99667,1
AK,99669,687
AK,99670,4
AK,99671,13
AK,99672,23
AK,99674,7
AK,99676,33
AK,99677,3
AK,99678,7
AK,99679,3
AK,99680,6
AK,99681,3
AK,99682,7
AK,99684,17
AK,99685,41
AK,99686,69
AK,99687,6
AK,99688,19
AK,99689,8
AK,99690,6
AK,99691,4
AK,99692,3
AK,99693,4
AK,99694,12
AK,99701,1829
AK,99702,45
AK,99703,288
AK,99704,4
AK,99705,121
AK,99707,3
AK,99708,1
AK,99709,703
AK,99710,1
AK,99712,44
AK,99714,3
AK,99720,2
AK,99721,7
AK,99722,3
AK,99723,79
AK,99724,3
AK,99725,2
AK,99727,6
AK,99729,2
AK,99731,3
AK,99733,2
AK,99734,5
AK,99736,5
AK,99737,51
AK,99738,3
AK,99739,10
AK,99740,19
AK,99741,17
AK,99742,11
AK,99743,6
AK,99744,1
AK,99745,2
AK,99746,3
AK,99748,7
AK,99749,7
AK,99750,5
AK,99751,4
AK,99752,275
AK,99753,9
AK,99754,3
AK,99755,5
AK,99756,1
AK,99758,3
AK,99760,8
AK,99761,4
AK,99762,297
AK,99763,9
AK,99764,1
AK,99765,6
AK,99766,3
AK,99767,1
AK,99768,4
AK,99769,18
AK,99770,11
AK,99771,10
AK,99772,14
AK,99773,5
AK,99775,7
AK,99776,3
AK,99777,4
AK,99778,10
AK,99779,1
AK,99780,29
AK,99781,1
AK,99783,5
AK,99784,7
AK,99785,11
AK,99786,5
AK,99788,2
AK,99798,1
AK,99801,1146
AK,99820,10
AK,99821,10
AK,99824,10
AK,99826,6
AK,99827,72
AK,99829,15
AK,99830,8
AK,99832,1
AK,99833,63
AK,99835,641
AK,99840,11
AK,99850,1
AK,99901,355
AK,99918,2
AK,99919,4
AK,99921,38
AK,99922,7
AK,99925,41
AK,99926,12
AK,99927,3
AK,99929,71
AK,99950,12
AK,99959,1
AL,1701,1
AL,15010,1
AL,15522,1
AL,17822,1
AL,17889,1
AL,18105,2
AL,23249,1
AL,25473,1
AL,25653,1
AL,25801,1
AL,26109,1
AL,26561,1
AL,30033,1
AL,30058,1
AL,30324,1
AL,30329,1
AL,30330,1
AL,30545,1
AL,30854,1
AL,31322,1
AL,31904,1
AL,32326,1
AL,32549,1
AL,33613,1
AL,33830,1
AL,34501,1
AL,34506,1
AL,35004,79
AL,35005,25
AL,35007,454
AL,35010,281
AL,35011,1
AL,35014,1
AL,35016,90
AL,35019,4
AL,35020,168
AL,35021,4
AL,35022,398
AL,35023,126
AL,35031,13
AL,35033,3
AL,35034,20
AL,35035,4
AL,35036,1
AL,35040,106
AL,35042,119
AL,35043,84
AL,35044,51
AL,35045,215
AL,35046,4
AL,35049,8
AL,35051,53
AL,35052,1
AL,35053,2
AL,35054,7
AL,35055,655
AL,35056,1
AL,35057,9
AL,35058,287
AL,35061,4
AL,35062,20
AL,35063,1
AL,35064,52
AL,35068,60
AL,35071,281
AL,35072,10
AL,35073,5
AL,35074,1
AL,35077,40
AL,35078,5
AL,35079,8
AL,35080,91
AL,35083,7
AL,35085,17
AL,35089,2
AL,35091,5
AL,35094,83
AL,35096,38
AL,35097,6
AL,35098,2
AL,35111,55
AL,35114,8
AL,35115,41
AL,35116,5
AL,35117,13
AL,35120,27
AL,35121,163
AL,35124,548
AL,35125,223
AL,35126,96
AL,35127,26
AL,35128,55
AL,35131,2
AL,35132,1
AL,35133,3
AL,35135,6
AL,35136,20
AL,35143,1
AL,35146,58
AL,35147,6
AL,35148,46
AL,35150,280
AL,35151,3
AL,35160,230
AL,35171,9
AL,35172,1
AL,35173,191
AL,35175,2
AL,35176,1
AL,35178,6
AL,35179,13
AL,35180,62
AL,35184,10
AL,35186,7
AL,35188,25
AL,35203,128
AL,35204,13
AL,35205,1403
AL,35206,65
AL,35207,39
AL,35208,49
AL,35209,1670
AL,35210,258
AL,35211,669
AL,35212,74
AL,35213,445
AL,35214,71
AL,35215,257
AL,35216,785
AL,35217,33
AL,35218,50
AL,35219,1
AL,35221,3
AL,35222,41
AL,35223,292
AL,35224,2
AL,35225,1
AL,35226,307
AL,35228,51
AL,35229,116
AL,35233,4011
AL,35234,66
AL,35235,670
AL,35240,1
AL,35242,952
AL,35243,790
AL,35244,745
AL,35245,1
AL,35246,3
AL,35249,1241
AL,35254,2
AL,35255,12
AL,35277,1
AL,35292,1
AL,35294,414
AL,35298,1
AL,35324,1
AL,35401,968
AL,35402,8
AL,35403,5
AL,35404,558
AL,35405,257
AL,35406,457
AL,35441,3
AL,35442,37
AL,35444,3
AL,35446,1
AL,35447,66
AL,35452,2
AL,35453,13
AL,35456,1
AL,35461,1
AL,35462,43
AL,35466,22
AL,35470,99
AL,35473,179
AL,35474,17
AL,35475,38
AL,35476,266
AL,35480,1
AL,35481,37
AL,35487,63
AL,35490,4
AL,35501,420
AL,35502,3
AL,35503,27
AL,35504,80
AL,35507,1
AL,35540,13
AL,35541,7
AL,35543,1
AL,35544,1
AL,35546,4
AL,35549,23
AL,35550,16
AL,35552,3
AL,35553,42
AL,35555,110
AL,35563,28
AL,35564,6
AL,35565,139
AL,35570,130
AL,35571,1
AL,35572,2
AL,35575,1
AL,35576,12
AL,35578,7
AL,35579,7
AL,35580,21
AL,35581,11
AL,35582,42
AL,35584,4
AL,35586,22
AL,35592,45
AL,35593,1
AL,35594,140
AL,35601,899
AL,35602,11
AL,35603,331
AL,35609,2
AL,35610,3
AL,35611,440
AL,35612,1
AL,35613,111
AL,35614,2
AL,35616,9
AL,35618,8
AL,35619,4
AL,35620,23
AL,35621,16
AL,35622,14
AL,35630,1020
AL,35632,13
AL,35633,58
AL,35634,33
AL,35636,1
AL,35640,149
AL,35645,50
AL,35646,6
AL,35648,15
AL,35650,170
AL,35651,1
AL,35652,49
AL,35653,199
AL,35654,18
AL,35660,252
AL,35661,282
AL,35662,1
AL,35670,8
AL,35671,9
AL,35672,9
AL,35673,10
AL,35674,126
AL,35677,1
AL,35739,23
AL,35740,9
AL,35741,9
AL,35744,7
AL,35747,21
AL,35748,13
AL,35749,74
AL,35750,48
AL,35752,1
AL,35754,5
AL,35755,1
AL,35756,57
AL,35757,44
AL,35758,858
AL,35759,45
AL,35760,9
AL,35761,15
AL,35762,7
AL,35763,108
AL,35765,11
AL,35768,288
AL,35769,68
AL,35771,16
AL,35772,25
AL,35773,21
AL,35774,2
AL,35776,2
AL,35801,2834
AL,35802,705
AL,35803,132
AL,35804,2
AL,35805,278
AL,35806,289
AL,35808,4
AL,35809,45
AL,35810,127
AL,35811,121
AL,35812,4
AL,35814,1
AL,35816,141
AL,35824,32
AL,35893,1
AL,35896,8
AL,35898,1
AL,35899,5
AL,35901,585
AL,35903,411
AL,35904,111
AL,35905,15
AL,35906,169
AL,35907,41
AL,35924,3
AL,35950,179
AL,35951,50
AL,35952,24
AL,35953,31
AL,35954,53
AL,35956,24
AL,35957,196
AL,35958,6
AL,35959,9
AL,35960,121
AL,35961,15
AL,35962,13
AL,35967,151
AL,35968,177
AL,35971,23
AL,35974,10
AL,35976,560
AL,35978,17
AL,35979,1
AL,35980,5
AL,35981,4
AL,35983,12
AL,35984,1
AL,35986,63
AL,35987,1
AL,35988,3
AL,35989,2
AL,35990,3
AL,36003,8
AL,36009,3
AL,36010,13
AL,36016,33
AL,36017,4
AL,36020,3
AL,36022,24
AL,36024,15
AL,36025,29
AL,36027,160
AL,36028,2
AL,36029,1
AL,36030,1
AL,36032,6
AL,36033,37
AL,36036,1
AL,36037,145
AL,36038,1
AL,36040,31
AL,36041,1
AL,36042,1
AL,36043,1
AL,36047,2
AL,36048,7
AL,36049,86
AL,36052,1
AL,36054,79
AL,36057,4
AL,36064,41
AL,36066,251
AL,36067,134
AL,36068,1
AL,36069,4
AL,36071,1
AL,36075,2
AL,36078,92
AL,36079,52
AL,36081,230
AL,36082,34
AL,36083,292
AL,36084,1
AL,36088,9
AL,36089,72
AL,36092,141
AL,36093,51
AL,36103,1
AL,36104,149
AL,36105,33
AL,36106,865
AL,36107,91
AL,36108,72
AL,36109,332
AL,36110,16
AL,36111,207
AL,36112,160
AL,36113,1
AL,36116,699
AL,36117,1173
AL,36120,1
AL,36123,1
AL,36124,2
AL,36130,29
AL,36177,1
AL,36201,208
AL,36202,6
