Zip_Code,Taxonomy_Code,Count_Taxonomy_Code
99508,101Y00000X,57
99508,101YA0400X,70
99508,101YM0800X,274
99508,101YP1600X,2
99508,101YP2500X,98
99508,101YS0200X,2
99508,103G00000X,3
99508,103K00000X,6
99508,103T00000X,22
99508,103TB0200X,1
99508,103TC0700X,25
99508,103TC1900X,1
99508,103TC2200X,2
99508,103TF0000X,1
99508,103TH0100X,1
99508,103TM1800X,1
99508,103TP0814X,1
99508,104100000X,46
99508,1041C0700X,107
99508,106H00000X,23
99508,106S00000X,80
99508,111N00000X,54
99508,111NN0400X,1
99508,111NR0400X,1
99508,111NS0005X,1
99508,122300000X,75
99508,1223E0200X,7
99508,1223G0001X,46
99508,1223P0106X,1
99508,1223P0221X,13
99508,1223P0300X,6
99508,1223P0700X,3
99508,1223S0112X,16
99508,1223X0008X,1
99508,1223X0400X,4
99508,124Q00000X,1
99508,125J00000X,2
99508,132700000X,1
99508,133V00000X,51
99508,133VN1004X,2
99508,133VN1005X,1
99508,146D00000X,1
99508,152W00000X,22
99508,156F00000X,1
99508,156FX1800X,5
99508,163W00000X,185
99508,163WA0400X,4
99508,163WC0200X,4
99508,163WC0400X,5
99508,163WC1500X,1
99508,163WD0400X,1
99508,163WG0000X,1
99508,163WH0200X,9
99508,163WI0500X,4
99508,163WI0600X,1
99508,163WL0100X,2
99508,163WM0705X,1
99508,163WN0002X,1
99508,163WP0807X,2
99508,163WP0808X,12
99508,163WP0809X,6
99508,163WP2201X,1
99508,163WR0006X,1
99508,163WR0400X,1
99508,163WW0000X,1
99508,163WW0101X,1
99508,163WX0106X,1
99508,163WX0800X,1
99508,164W00000X,25
99508,170100000X,1
99508,170300000X,5
99508,1710I1002X,1
99508,171100000X,8
99508,171M00000X,151
99508,171W00000X,2
99508,171WH0202X,1
99508,172M00000X,1
99508,172V00000X,18
99508,174400000X,56
99508,1744P3200X,1
99508,174M00000X,3
99508,174N00000X,3
99508,175F00000X,3
99508,175M00000X,1
99508,175T00000X,17
99508,176B00000X,15
99508,177F00000X,1
99508,183500000X,98
99508,1835P0018X,7
99508,1835P1200X,9
99508,1835P1300X,1
99508,1835P2201X,1
99508,183700000X,2
99508,202K00000X,1
99508,204C00000X,1
99508,204E00000X,3
99508,207K00000X,7
99508,207KA0200X,1
99508,207L00000X,92
99508,207LA0401X,1
99508,207LP2900X,19
99508,207LP3000X,3
99508,207N00000X,12
99508,207ND0101X,1
99508,207NI0002X,1
99508,207NP0225X,3
99508,207P00000X,63
99508,207PE0004X,5
99508,207Q00000X,262
99508,207QA0401X,1
99508,207QH0002X,2
99508,207QS0010X,4
99508,207R00000X,115
99508,207RA0001X,1
99508,207RA0401X,3
99508,207RB0002X,1
99508,207RC0000X,43
99508,207RC0001X,5
99508,207RC0200X,8
99508,207RE0101X,13
99508,207RG0100X,28
99508,207RG0300X,4
99508,207RH0000X,3
99508,207RH0002X,5
99508,207RH0003X,13
99508,207RI0011X,8
99508,207RI0200X,13
99508,207RN0300X,22
99508,207RP1001X,12
99508,207RR0500X,9
99508,207RS0012X,4
99508,207RX0202X,2
99508,207T00000X,24
99508,207UN0901X,2
99508,207V00000X,82
99508,207VB0002X,1
99508,207VF0040X,1
99508,207VG0400X,11
99508,207VM0101X,4
99508,207VX0000X,4
99508,207VX0201X,1
99508,207W00000X,17
99508,207X00000X,63
99508,207XP3100X,1
99508,207XS0106X,12
99508,207XS0114X,2
99508,207XS0117X,5
99508,207XX0004X,4
99508,207XX0005X,1
